SNN_Train_Error;PAC-bayes bound;SNN_Test_Error
0.7891657971755386;0.999999999;0.7839282003741523
0.664401574730588;0.999999999;0.6449524836566057
0.5904100846467306;0.999999999;0.5820548769235875
0.5561505856593738;0.999999999;0.5393485994669553
0.5241252126046909;0.999999999;0.5121480097176858
0.5008549432725943;0.999999999;0.4924913328051213
0.48128106053193054;0.999999999;0.47688338367950744
0.4679290479460969;0.999999999;0.4639759860932774
0.4551879699327661;0.999999999;0.45283546091281196
0.44224191153301556;0.999999999;0.4420579761006094
