SNN_Train_Error;PAC-bayes bound;SNN_Test_Error
0.7975634049164018;0.999999999;0.7851368571130782
0.6703309378717806;0.999999999;0.6575147721787156
0.5977282028859489;0.999999999;0.59137446575029
0.5573802372315855;0.999999999;0.5500104738251749
0.5217066215964486;0.999999999;0.5244437768692731
0.4995002426214803;0.999999999;0.5059897763958079
0.48389515478199946;0.999999999;0.4919467202285939
0.4726519609848569;0.999999999;0.4798442986955912
0.4607933828463933;0.999999999;0.4693267336777055
0.44916917688677815;0.999999999;0.45594749230318227
